,余雪明,城仲模,廖義男,彭鳳至,徐璧湖,曾有田,李震山,林子儀,林永謀,林錫堯,楊仁壽,池啟明,王和雄,翁岳生,葉百修,蔡清遊,蘇永欽,許宗力,許玉秀,謝在全,賴英照,陳敏,陳新民,陳春生,黃茂榮
573.0,0.0,0.0,0.03,0.02,0.0,0.0,0.03,0.03,0.03,0.18,0.04,0.05,0.01,0.0,0.19,0.05,0.01,0.0,0.02,0.05,0.0,0.05,0.0,0.04,0.17
574.0,0.01,0.0,0.05,0.0,0.01,0.0,0.02,0.01,0.1,0.1,0.01,0.06,0.0,0.0,0.06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06
575.0,0.04,0.01,0.03,0.02,0.0,0.01,0.08,0.01,0.17,0.13,0.03,0.02,0.03,0.0,0.03,0.15,0.0,0.01,0.02,0.03,0.0,0.01,0.02,0.01,0.14
576.0,0.0,0.0,0.04,0.0,0.01,0.0,0.02,0.05,0.0,0.27,0.01,0.05,0.0,0.08,0.13,0.11,0.0,0.0,0.01,0.02,0.01,0.03,0.0,0.05,0.11
577.0,0.03,0.0,0.03,0.0,0.01,0.0,0.02,0.07,0.1,0.16,0.0,0.05,0.01,0.0,0.08,0.21,0.01,0.01,0.0,0.02,0.01,0.0,0.01,0.04,0.13
578.0,0.0,0.0,0.16,0.02,0.0,0.03,0.02,0.03,0.03,0.18,0.04,0.02,0.01,0.03,0.03,0.14,0.0,0.0,0.01,0.01,0.05,0.04,0.0,0.04,0.11
579.0,0.0,0.0,0.02,0.02,0.0,0.01,0.07,0.0,0.0,0.16,0.01,0.08,0.0,0.0,0.21,0.14,0.0,0.0,0.04,0.02,0.0,0.07,0.0,0.01,0.14
580.0,0.0,0.0,0.0,0.02,0.0,0.0,0.06,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.23,0.24,0.0,0.0,0.08,0.04,0.06,0.02,0.0,0.05,0.06
581.0,0.0,0.0,0.05,0.0,0.0,0.01,0.13,0.02,0.0,0.1,0.01,0.06,0.0,0.0,0.17,0.14,0.0,0.04,0.06,0.01,0.03,0.01,0.04,0.05,0.07
582.0,0.0,0.0,0.03,0.02,0.0,0.0,0.09,0.04,0.0,0.2,0.04,0.15,0.0,0.0,0.19,0.12,0.0,0.0,0.0,0.02,0.01,0.0,0.01,0.01,0.07
583.0,0.04,0.0,0.09,0.0,0.0,0.01,0.06,0.05,0.02,0.04,0.01,0.02,0.06,0.01,0.06,0.21,0.04,0.01,0.06,0.01,0.02,0.03,0.04,0.05,0.06
584.0,0.01,0.0,0.06,0.0,0.0,0.0,0.04,0.01,0.09,0.09,0.02,0.01,0.04,0.01,0.11,0.24,0.0,0.0,0.03,0.02,0.0,0.01,0.01,0.01,0.19
585.0,0.01,0.02,0.01,0.0,0.0,0.0,0.04,0.03,0.1,0.08,0.0,0.1,0.01,0.0,0.05,0.3,0.0,0.02,0.0,0.06,0.01,0.01,0.0,0.11,0.04
586.0,0.01,0.0,0.08,0.01,0.0,0.0,0.04,0.01,0.02,0.06,0.01,0.02,0.01,0.01,0.07,0.26,0.0,0.03,0.03,0.02,0.07,0.02,0.0,0.03,0.19
587.0,0.03,0.0,0.02,0.01,0.0,0.0,0.05,0.01,0.09,0.14,0.01,0.03,0.0,0.01,0.09,0.34,0.0,0.02,0.01,0.0,0.01,0.02,0.01,0.04,0.06
588.0,0.0,0.01,0.03,0.0,0.0,0.0,0.04,0.01,0.34,0.05,0.0,0.08,0.01,0.01,0.07,0.29,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.05
589.0,0.0,0.01,0.08,0.01,0.0,0.02,0.1,0.03,0.05,0.15,0.01,0.03,0.02,0.0,0.19,0.16,0.0,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.02
590.0,0.01,0.0,0.13,0.0,0.0,0.01,0.02,0.02,0.03,0.19,0.02,0.02,0.08,0.01,0.19,0.06,0.0,0.0,0.02,0.0,0.0,0.02,0.01,0.02,0.14
591.0,0.02,0.0,0.03,0.0,0.0,0.0,0.1,0.0,0.02,0.04,0.0,0.0,0.01,0.0,0.13,0.16,0.01,0.02,0.04,0.01,0.02,0.03,0.03,0.0,0.33
592.0,0.01,0.0,0.11,0.02,0.0,0.0,0.07,0.0,0.08,0.09,0.01,0.07,0.0,0.01,0.11,0.18,0.05,0.01,0.0,0.04,0.03,0.01,0.0,0.02,0.08
593.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.07,0.0,0.24,0.0,0.05,0.0,0.01,0.14,0.18,0.0,0.0,0.0,0.03,0.01,0.02,0.0,0.03,0.18
594.0,0.01,0.0,0.04,0.02,0.02,0.01,0.1,0.01,0.05,0.05,0.01,0.02,0.01,0.0,0.13,0.23,0.0,0.01,0.04,0.01,0.09,0.02,0.0,0.07,0.05
595.0,0.0,0.0,0.08,0.0,0.0,0.01,0.06,0.01,0.11,0.18,0.02,0.01,0.02,0.0,0.09,0.15,0.0,0.0,0.02,0.02,0.02,0.05,0.02,0.05,0.08
