,余雪明,城仲模,廖義男,彭鳳至,徐璧湖,曾有田,李震山,林子儀,林永謀,林錫堯,楊仁壽,池啟明,王和雄,翁岳生,葉百修,蔡清遊,蘇永欽,許宗力,許玉秀,謝在全,賴英照,陳敏,陳新民,陳春生,黃茂榮
431.0,0.0,0.01,0.06,0.01,0.01,0.0,0.08,0.02,0.01,0.11,0.04,0.0,0.0,0.03,0.16,0.11,0.0,0.01,0.06,0.09,0.0,0.0,0.0,0.0,0.19
432.0,0.01,0.0,0.07,0.0,0.0,0.0,0.01,0.01,0.1,0.1,0.01,0.03,0.01,0.0,0.06,0.49,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.05
433.0,0.05,0.0,0.05,0.0,0.0,0.0,0.07,0.01,0.07,0.17,0.03,0.0,0.0,0.0,0.07,0.2,0.05,0.04,0.01,0.02,0.01,0.01,0.03,0.01,0.1
434.0,0.0,0.0,0.02,0.01,0.0,0.03,0.02,0.06,0.0,0.23,0.0,0.04,0.0,0.03,0.15,0.22,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.03,0.11
435.0,0.04,0.0,0.07,0.01,0.0,0.0,0.16,0.01,0.04,0.08,0.01,0.01,0.01,0.0,0.07,0.19,0.0,0.04,0.04,0.0,0.04,0.02,0.03,0.04,0.09
436.0,0.0,0.0,0.09,0.0,0.0,0.0,0.08,0.02,0.04,0.12,0.05,0.03,0.01,0.0,0.06,0.17,0.02,0.0,0.0,0.02,0.04,0.02,0.0,0.03,0.2
437.0,0.01,0.0,0.01,0.0,0.0,0.01,0.13,0.01,0.0,0.09,0.01,0.05,0.0,0.0,0.21,0.17,0.0,0.0,0.01,0.02,0.0,0.08,0.01,0.03,0.15
438.0,0.01,0.0,0.04,0.0,0.0,0.01,0.11,0.0,0.0,0.04,0.02,0.04,0.0,0.0,0.24,0.25,0.0,0.0,0.06,0.01,0.03,0.07,0.02,0.01,0.04
439.0,0.01,0.0,0.03,0.0,0.0,0.01,0.22,0.01,0.01,0.03,0.04,0.07,0.0,0.01,0.1,0.2,0.0,0.02,0.03,0.02,0.01,0.03,0.02,0.06,0.07
440.0,0.0,0.0,0.03,0.01,0.0,0.02,0.13,0.02,0.01,0.23,0.06,0.05,0.0,0.02,0.08,0.24,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.0,0.05
441.0,0.0,0.0,0.05,0.01,0.0,0.01,0.16,0.06,0.03,0.04,0.01,0.01,0.0,0.02,0.05,0.09,0.07,0.02,0.02,0.01,0.02,0.1,0.08,0.05,0.09
442.0,0.04,0.0,0.11,0.0,0.01,0.0,0.03,0.01,0.05,0.06,0.03,0.05,0.03,0.0,0.1,0.26,0.0,0.01,0.0,0.05,0.0,0.02,0.01,0.07,0.06
443.0,0.0,0.01,0.03,0.03,0.0,0.0,0.08,0.03,0.07,0.08,0.02,0.1,0.0,0.03,0.05,0.33,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.05,0.03
444.0,0.0,0.0,0.17,0.0,0.0,0.0,0.08,0.03,0.01,0.03,0.08,0.0,0.0,0.0,0.12,0.14,0.0,0.0,0.05,0.02,0.02,0.02,0.0,0.02,0.21
445.0,0.05,0.0,0.01,0.01,0.0,0.01,0.09,0.02,0.04,0.07,0.01,0.01,0.0,0.02,0.11,0.36,0.01,0.01,0.02,0.0,0.0,0.02,0.0,0.07,0.06
446.0,0.02,0.0,0.05,0.01,0.0,0.0,0.04,0.03,0.26,0.08,0.01,0.02,0.01,0.0,0.04,0.26,0.0,0.0,0.02,0.03,0.0,0.01,0.0,0.03,0.08
447.0,0.0,0.0,0.09,0.01,0.0,0.0,0.18,0.0,0.02,0.12,0.01,0.04,0.01,0.01,0.17,0.16,0.0,0.03,0.01,0.0,0.01,0.02,0.01,0.05,0.05
448.0,0.04,0.0,0.03,0.01,0.01,0.01,0.04,0.01,0.04,0.14,0.05,0.05,0.04,0.02,0.17,0.13,0.0,0.0,0.01,0.01,0.0,0.03,0.0,0.01,0.15
449.0,0.01,0.0,0.03,0.01,0.0,0.0,0.09,0.0,0.04,0.03,0.04,0.01,0.02,0.0,0.1,0.16,0.0,0.01,0.02,0.02,0.04,0.01,0.02,0.07,0.27
450.0,0.01,0.0,0.05,0.03,0.0,0.0,0.19,0.02,0.05,0.03,0.03,0.01,0.01,0.0,0.08,0.19,0.05,0.0,0.05,0.04,0.03,0.0,0.01,0.02,0.1
451.0,0.01,0.0,0.04,0.0,0.0,0.01,0.01,0.04,0.07,0.34,0.0,0.02,0.0,0.0,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.23
452.0,0.01,0.0,0.04,0.03,0.0,0.01,0.13,0.02,0.01,0.05,0.01,0.0,0.0,0.0,0.15,0.3,0.0,0.01,0.06,0.03,0.04,0.02,0.02,0.02,0.04
453.0,0.01,0.0,0.1,0.0,0.0,0.0,0.15,0.02,0.06,0.18,0.03,0.01,0.01,0.01,0.06,0.19,0.01,0.01,0.01,0.0,0.0,0.03,0.01,0.03,0.07
454.0,0.0,0.0,0.06,0.01,0.0,0.01,0.08,0.02,0.07,0.11,0.08,0.0,0.01,0.01,0.14,0.17,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.16
455.0,0.01,0.0,0.12,0.02,0.02,0.0,0.1,0.03,0.02,0.07,0.02,0.01,0.01,0.0,0.1,0.29,0.0,0.0,0.02,0.04,0.03,0.0,0.0,0.0,0.09
456.0,0.0,0.0,0.01,0.0,0.0,0.01,0.11,0.02,0.03,0.1,0.05,0.02,0.0,0.0,0.11,0.36,0.0,0.03,0.02,0.0,0.03,0.02,0.0,0.03,0.05
457.0,0.0,0.0,0.02,0.0,0.01,0.02,0.07,0.01,0.01,0.32,0.0,0.09,0.01,0.0,0.12,0.19,0.0,0.0,0.0,0.02,0.01,0.07,0.0,0.01,0.02
458.0,0.0,0.0,0.05,0.01,0.0,0.02,0.09,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.25,0.02,0.0,0.14,0.1,0.25,0.01,0.0,0.02,0.0
459.0,0.01,0.0,0.01,0.0,0.0,0.03,0.1,0.01,0.15,0.06,0.01,0.03,0.0,0.0,0.01,0.42,0.01,0.01,0.02,0.0,0.01,0.0,0.0,0.05,0.06
460.0,0.05,0.0,0.04,0.05,0.0,0.0,0.01,0.0,0.02,0.05,0.01,0.02,0.0,0.0,0.04,0.49,0.0,0.01,0.0,0.01,0.02,0.01,0.0,0.06,0.11
461.0,0.02,0.0,0.01,0.0,0.0,0.01,0.21,0.0,0.04,0.03,0.07,0.06,0.0,0.0,0.12,0.22,0.0,0.02,0.01,0.01,0.0,0.02,0.01,0.04,0.1
462.0,0.02,0.01,0.03,0.0,0.0,0.0,0.13,0.0,0.09,0.07,0.03,0.03,0.0,0.02,0.11,0.15,0.0,0.05,0.03,0.03,0.01,0.05,0.03,0.01,0.1
463.0,0.02,0.0,0.05,0.01,0.0,0.0,0.01,0.01,0.06,0.04,0.03,0.07,0.03,0.0,0.1,0.24,0.0,0.0,0.02,0.02,0.0,0.03,0.0,0.14,0.12
464.0,0.0,0.0,0.05,0.01,0.0,0.02,0.09,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.25,0.02,0.0,0.14,0.1,0.25,0.01,0.0,0.02,0.0
465.0,0.0,0.0,0.1,0.01,0.0,0.02,0.1,0.0,0.0,0.07,0.03,0.01,0.0,0.0,0.11,0.26,0.02,0.02,0.03,0.01,0.03,0.05,0.0,0.08,0.05
466.0,0.0,0.0,0.02,0.0,0.0,0.0,0.18,0.02,0.01,0.09,0.03,0.04,0.0,0.0,0.12,0.3,0.0,0.01,0.03,0.05,0.02,0.01,0.0,0.04,0.03
467.0,0.01,0.01,0.07,0.03,0.0,0.0,0.16,0.02,0.01,0.05,0.02,0.04,0.02,0.02,0.12,0.13,0.0,0.05,0.06,0.01,0.02,0.01,0.04,0.03,0.07
468.0,0.0,0.0,0.02,0.01,0.0,0.02,0.09,0.03,0.01,0.11,0.01,0.06,0.0,0.0,0.14,0.14,0.01,0.02,0.02,0.0,0.0,0.02,0.03,0.03,0.23
