,NAME,上開,不,之,也,了,云云,以,伊,似,但,係指,全,其,即,卻,又,只,可,在,地,如,就,得,惟查,把,按,於,旋,是,有,此,殆,為,無,然,爰,的,等語,系爭,縱,而,致,與,茲,著,被,足資,這,還,那
0,翁岳生,4.0,47.0,366,,,,30.0,,1.0,2.0,,5.0,57,16.0,3.0,3.0,,2.0,23.0,2.0,16.0,3.0,26.0,,,8.0,58,,16.0,63,29,,63,15.0,7.0,1.0,23.0,,3.0,,26,3.0,46.0,,4.0,1.0,,,,
1,翁岳生,1.0,57.0,380,,,,44.0,,,4.0,,3.0,46,5.0,2.0,1.0,,1.0,20.0,2.0,10.0,5.0,31.0,,,5.0,62,,36.0,63,40,,60,19.0,4.0,1.0,22.0,,3.0,,28,6.0,38.0,,1.0,3.0,,,,
2,翁岳生,1.0,52.0,406,,,,38.0,,,3.0,1.0,2.0,45,9.0,3.0,1.0,,4.0,17.0,2.0,13.0,4.0,24.0,,,7.0,83,,22.0,57,36,,57,14.0,1.0,1.0,15.0,,3.0,,33,4.0,43.0,,5.0,2.0,,,,
3,翁岳生,4.0,48.0,378,,,,44.0,,1.0,1.0,,8.0,51,11.0,4.0,8.0,,7.0,11.0,5.0,15.0,5.0,24.0,,,7.0,73,,38.0,64,31,,56,17.0,8.0,1.0,18.0,,2.0,,25,2.0,41.0,,1.0,,,,,
4,翁岳生,2.0,52.0,342,,,,31.0,,,6.0,1.0,6.0,44,14.0,2.0,,,4.0,17.0,5.0,23.0,4.0,23.0,,,5.0,62,,20.0,67,52,,67,17.0,6.0,2.0,19.0,,4.0,,33,4.0,36.0,,1.0,,,,,
5,翁岳生,2.0,44.0,356,,,,34.0,,,2.0,2.0,3.0,55,11.0,,5.0,,1.0,25.0,3.0,19.0,3.0,25.0,,,7.0,66,,28.0,78,34,,62,14.0,5.0,,19.0,,9.0,,42,3.0,38.0,,1.0,2.0,,,,
6,翁岳生,,44.0,332,,,,31.0,,,1.0,2.0,5.0,50,10.0,4.0,6.0,,5.0,17.0,2.0,13.0,8.0,24.0,,,5.0,56,,24.0,56,29,,62,18.0,4.0,1.0,20.0,,5.0,,30,3.0,41.0,,2.0,,,,,
7,翁岳生,3.0,61.0,342,,,,40.0,,1.0,3.0,,1.0,47,6.0,2.0,2.0,,5.0,18.0,7.0,16.0,8.0,25.0,,,5.0,44,,32.0,58,34,,51,24.0,5.0,1.0,28.0,,5.0,,29,1.0,31.0,,2.0,,,,,
8,翁岳生,1.0,43.0,402,,,,37.0,,1.0,2.0,1.0,2.0,57,7.0,1.0,3.0,,5.0,16.0,2.0,17.0,8.0,29.0,,,6.0,63,,16.0,64,28,,58,20.0,11.0,1.0,22.0,,4.0,,38,2.0,36.0,,2.0,,,,,
9,翁岳生,,51.0,356,,,,41.0,,,4.0,2.0,4.0,56,10.0,4.0,4.0,,3.0,25.0,9.0,14.0,7.0,27.0,,,6.0,72,,32.0,52,24,,56,24.0,5.0,1.0,19.0,,9.0,,43,3.0,32.0,,1.0,,,,,
10,翁岳生,4.0,45.0,346,,,,49.0,,3.0,1.0,,4.0,55,9.0,3.0,9.0,,7.0,19.0,7.0,16.0,5.0,30.0,,,7.0,53,,18.0,59,27,,65,9.0,7.0,,20.0,,7.0,,24,4.0,35.0,,1.0,,,,,
11,翁岳生,2.0,43.0,316,,,,49.0,,2.0,1.0,1.0,5.0,54,11.0,,5.0,,3.0,21.0,2.0,16.0,6.0,36.0,,,5.0,56,,16.0,63,27,,54,16.0,7.0,1.0,17.0,,3.0,,34,7.0,43.0,,2.0,2.0,,,,
12,翁岳生,3.0,43.0,342,,,,47.0,,2.0,1.0,,1.0,49,11.0,1.0,3.0,,6.0,18.0,3.0,22.0,11.0,32.0,,,6.0,76,,28.0,78,39,,59,21.0,8.0,,17.0,,5.0,,32,2.0,40.0,,3.0,,,,,
13,翁岳生,3.0,52.0,398,,,,39.0,,1.0,2.0,1.0,,55,9.0,1.0,4.0,,7.0,10.0,3.0,16.0,6.0,42.0,,,9.0,69,,40.0,74,27,,59,15.0,6.0,2.0,23.0,,4.0,,43,4.0,43.0,,,,,,,
14,翁岳生,2.0,39.0,390,,,,50.0,,1.0,,3.0,1.0,35,7.0,3.0,6.0,,2.0,10.0,2.0,11.0,8.0,29.0,,,8.0,52,,18.0,62,26,,69,26.0,2.0,2.0,17.0,,7.0,,37,4.0,38.0,,2.0,3.0,,,,
15,翁岳生,2.0,42.0,356,,,,49.0,,3.0,4.0,3.0,4.0,44,11.0,2.0,4.0,,8.0,18.0,3.0,11.0,1.0,26.0,,,6.0,57,,14.0,65,33,,56,19.0,4.0,1.0,18.0,,4.0,,36,7.0,41.0,,1.0,1.0,,,,
16,翁岳生,1.0,51.0,374,,,,48.0,,2.0,3.0,,,59,10.0,2.0,1.0,,8.0,18.0,6.0,15.0,3.0,25.0,,,5.0,67,,32.0,57,21,,64,21.0,7.0,,20.0,,5.0,,38,2.0,40.0,,1.0,,,,,
17,翁岳生,4.0,58.0,398,,,,46.0,,1.0,2.0,,1.0,42,5.0,3.0,5.0,,8.0,16.0,4.0,19.0,3.0,24.0,,,5.0,70,,34.0,76,36,,57,16.0,7.0,4.0,18.0,,4.0,,38,1.0,27.0,,,1.0,,,,
18,翁岳生,1.0,44.0,344,,,,39.0,,2.0,2.0,,5.0,51,9.0,2.0,3.0,,4.0,6.0,7.0,23.0,9.0,20.0,,,5.0,66,,18.0,73,34,,61,30.0,2.0,2.0,14.0,,4.0,,35,4.0,41.0,,2.0,,,,,
19,翁岳生,4.0,46.0,318,,,,42.0,,2.0,,1.0,2.0,57,8.0,2.0,3.0,,3.0,15.0,1.0,9.0,4.0,25.0,,,7.0,56,,34.0,69,24,,33,22.0,10.0,,16.0,,5.0,,39,4.0,33.0,,1.0,,,,,
20,翁岳生,1.0,51.0,334,,,,49.0,,3.0,2.0,1.0,1.0,40,7.0,2.0,2.0,,7.0,12.0,4.0,25.0,5.0,18.0,,,9.0,63,,24.0,76,38,,65,19.0,12.0,,14.0,,4.0,,24,6.0,34.0,,1.0,,,,,
21,翁岳生,1.0,39.0,326,,,,49.0,,,1.0,,4.0,56,15.0,1.0,3.0,,5.0,19.0,2.0,15.0,5.0,34.0,,,9.0,58,,36.0,52,32,,62,19.0,7.0,,14.0,,7.0,,27,4.0,42.0,,1.0,2.0,,,,
22,翁岳生,,52.0,416,,,,40.0,,1.0,2.0,,2.0,45,10.0,1.0,6.0,,9.0,20.0,,17.0,11.0,25.0,,,12.0,48,,26.0,63,27,,57,17.0,3.0,,22.0,,1.0,,41,2.0,39.0,,,1.0,,,,
23,翁岳生,3.0,43.0,370,,,,36.0,,1.0,3.0,4.0,5.0,60,8.0,1.0,3.0,,9.0,19.0,3.0,16.0,5.0,28.0,,,10.0,71,,20.0,52,33,,65,19.0,5.0,,29.0,,5.0,,27,4.0,29.0,,1.0,,,,,
24,翁岳生,4.0,44.0,392,,,,46.0,,2.0,1.0,3.0,2.0,38,3.0,1.0,4.0,,6.0,21.0,5.0,18.0,5.0,29.0,,,8.0,62,,30.0,71,37,,55,18.0,8.0,2.0,19.0,,4.0,,30,2.0,31.0,,,2.0,,,,
25,翁岳生,1.0,54.0,336,,,,37.0,,1.0,2.0,,3.0,53,5.0,2.0,3.0,,1.0,21.0,4.0,14.0,6.0,19.0,,,7.0,50,,36.0,64,21,,67,13.0,6.0,2.0,22.0,,3.0,,46,5.0,41.0,,3.0,,,,,
26,翁岳生,6.0,58.0,412,,,,34.0,,,1.0,3.0,4.0,57,11.0,3.0,4.0,,12.0,18.0,6.0,10.0,4.0,33.0,,,6.0,67,,14.0,64,33,,50,23.0,7.0,4.0,26.0,,1.0,,35,1.0,32.0,,2.0,2.0,,,,
27,翁岳生,1.0,36.0,394,,,,36.0,,,1.0,2.0,3.0,66,8.0,2.0,5.0,,3.0,21.0,1.0,15.0,9.0,29.0,,,6.0,49,,32.0,57,24,,58,19.0,6.0,1.0,17.0,,,,40,3.0,45.0,,4.0,,,,,
28,翁岳生,1.0,48.0,342,,,,53.0,,1.0,2.0,2.0,3.0,56,14.0,2.0,4.0,,5.0,21.0,5.0,17.0,5.0,33.0,,,9.0,66,,22.0,65,30,,56,22.0,1.0,4.0,10.0,,5.0,,33,3.0,47.0,,2.0,1.0,,,,
29,翁岳生,2.0,41.0,364,,,,48.0,,1.0,2.0,3.0,1.0,56,13.0,1.0,1.0,,9.0,14.0,4.0,11.0,1.0,22.0,,,6.0,64,,30.0,59,32,,74,20.0,1.0,3.0,29.0,,3.0,,43,3.0,41.0,,1.0,,,,,
